"year","name","rating"
2015,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",4.7
2015,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)",4.6
2015,"Being Mortal: Medicine and What Matters in the End",4.8
2015,"The Day the Crayons Quit",4.8
2015,"Between the World and Me",4.7
2015,"Humans of New York : Stories",4.9
2015,"The Wright Brothers",4.7
2015,"Mindset: The New Psychology of Success",4.6
2015,"How to Win Friends & Influence People",4.7
2015,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)",4.4
2015,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",4.7
2015,"The Whole30: The 30-Day Guide to Total Health and Food Freedom",4.6
2015,"The Girl on the Train",4.1
2015,"Harry Potter Coloring Book",4.7
2015,"The Very Hungry Caterpillar",4.9
2015,"Oh, the Places You'll Go!",4.9
2015,"Wonder",4.8
2015,"Adult Coloring Book: Stress Relieving Animal Designs",4.6
2015,"Love You Forever",4.8
2016,"Cravings: Recipes for All the Food You Want to Eat: A Cookbook",4.7
2016,"To Kill a Mockingbird",4.8
2016,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",4.7
2016,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",4.5
2016,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",4.7
2016,"Dear Zoo: A Lift-the-Flap Book",4.8
2016,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",4.0
2016,"The Very Hungry Caterpillar",4.9
2016,"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",4.3
2016,"Double Down (Diary of a Wimpy Kid #11)",4.8
2016,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)",4.6
2016,"The Nightingale: A Novel",4.8
2016,"Oh, the Places You'll Go!",4.9
2016,"Giraffes Can't Dance",4.8
2016,"The Constitution of the United States",4.8
2016,"Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series)",4.6
2016,"Wonder",4.8
