name,year,price,rating
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2016,16,4.7
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",2016,22,4.9
The Wonderful Things You Will Be,2016,10,4.9
Milk and Honey,2016,8,4.7
How to Win Friends & Influence People,2016,11,4.7
Hamilton: The Revolution,2016,54,4.9
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),2016,6,4.8
10-Day Green Smoothie Cleanse,2016,8,4.7
The Whole30: The 30-Day Guide to Total Health and Food Freedom,2016,16,4.6
The Going-To-Bed Book,2016,5,4.8
StrengthsFinder 2.0,2016,17,4
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2016,8,4.9
A Man Called Ove: A Novel,2016,8,4.6
When Breath Becomes Air,2016,14,4.8
"Option B: Facing Adversity, Building Resilience, and Finding Joy",2017,9,4.5
Obama: An Intimate Portrait,2017,22,4.9
StrengthsFinder 2.0,2017,17,4
Milk and Vine: Inspirational Quotes From Classic Vines,2017,6,4.4
Milk and Honey,2017,8,4.7
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,2017,11,4.7
The 5 Love Languages: The Secret to Love that Lasts,2017,8,4.8
Leonardo da Vinci,2017,21,4.5
Laugh-Out-Loud Jokes for Kids,2017,4,4.6
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2017,16,4.7
A Man Called Ove: A Novel,2017,8,4.6
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,2017,17,4.6
"Oh, the Places You'll Go!",2017,8,4.9
If Animals Kissed Good Night,2017,4,4.8
A Gentleman in Moscow: A Novel,2017,15,4.7
How to Win Friends & Influence People,2017,11,4.7
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,2017,14,4.4
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2017,6,4.7
The Getaway,2017,0,4.8
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",2017,30,4.9
The Going-To-Bed Book,2017,5,4.8
1984 (Signet Classics),2017,6,4.7
The Handmaid's Tale,2017,7,4.3
Goodnight Moon,2017,5,4.8
Giraffes Can't Dance,2017,4,4.8
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,2017,7,4.3
First 100 Words,2017,4,4.7
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2017,11,4.5
The Pout-Pout Fish,2017,5,4.8
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),2017,8,4.9
Dear Zoo: A Lift-the-Flap Book,2017,5,4.8
The Shack: Where Tragedy Confronts Eternity,2017,8,4.6
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,2017,15,4.6
The Sun and Her Flowers,2017,9,4.7
The Very Hungry Caterpillar,2017,5,4.9
The Whole30: The 30-Day Guide to Total Health and Food Freedom,2017,16,4.6
The Wonderful Things You Will Be,2017,10,4.9
"Brown Bear, Brown Bear, What Do You See?",2017,5,4.9
Thirteen Reasons Why,2017,9,4.5
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2017,23,4.6
Wonder,2017,9,4.8
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",2017,21,4.6
Astrophysics for People in a Hurry,2017,9,4.7
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2017,8,4.7
